Recovery Percentages for Each Country
------------------------------------

Country ID: 1, Cases: 2166, Recovered: 2, Recovery Percentage: 0.09%
Country ID: 172, Cases: 1746997, Recovered: 1731007, Recovery Percentage: 99.08%
Country ID: 173, Cases: 4076463, Recovered: 3912506, Recovery Percentage: 95.98%
Country ID: 174, Cases: 1411831, Recovered: 1383020, Recovery Percentage: 97.96%
Country ID: 175, Cases: 5557995, Recovered: 5445577, Recovery Percentage: 97.98%
Country ID: 176, Cases: 1581936, Recovered: 1538689, Recovery Percentage: 97.27%
Country ID: 177, Cases: 3183756, Recovered: 3174942, Recovery Percentage: 99.72%
Country ID: 178, Cases: 2465545, Recovered: 2439497, Recovery Percentage: 98.94%
Country ID: 179, Cases: 1489459, Recovered: 1483727, Recovery Percentage: 99.62%
Country ID: 181, Cases: 4841772, Recovered: 4798473, Recovery Percentage: 99.11%
Country ID: 182, Cases: 2212994, Recovered: 2152155, Recovery Percentage: 97.25%
Country ID: 183, Cases: 4524326, Recovered: 4302165, Recovery Percentage: 95.09%
Country ID: 184, Cases: 5147359, Recovered: 5094830, Recovery Percentage: 98.98%
Country ID: 185, Cases: 4760122, Recovered: 4692636, Recovery Percentage: 98.58%
Country ID: 186, Cases: 2519095, Recovered: 2508875, Recovery Percentage: 99.59%
Country ID: 187, Cases: 2591641, Recovered: 2565413, Recovery Percentage: 98.99%
Country ID: 188, Cases: 1869296, Recovered: 1847634, Recovery Percentage: 98.84%
Country ID: 189, Cases: 1279948, Recovered: 1259254, Recovery Percentage: 98.38%
Country ID: 190, Cases: 3505080, Recovered: 3433845, Recovery Percentage: 97.97%
Country ID: 191, Cases: 4432537, Recovered: 4408233, Recovery Percentage: 99.45%
Country ID: 192, Cases: 1330007, Recovered: 1288753, Recovery Percentage: 96.90%
Country ID: 193, Cases: 4832936, Recovered: 4794191, Recovery Percentage: 99.20%
Country ID: 194, Cases: 4126460, Recovered: 4056113, Recovery Percentage: 98.30%
Country ID: 195, Cases: 1725026, Recovered: 1715187, Recovery Percentage: 99.43%
Country ID: 196, Cases: 4831665, Recovered: 4736846, Recovery Percentage: 98.04%
Country ID: 197, Cases: 2924468, Recovered: 2909315, Recovery Percentage: 99.48%
Country ID: 198, Cases: 2738868, Recovered: 2702389, Recovery Percentage: 98.67%
Country ID: 199, Cases: 1507123, Recovered: 1489645, Recovery Percentage: 98.84%
Country ID: 200, Cases: 2739037, Recovered: 2715010, Recovery Percentage: 99.12%
Country ID: 202, Cases: 5319739, Recovered: 5252450, Recovery Percentage: 98.74%
Country ID: 203, Cases: 1369142, Recovered: 1339316, Recovery Percentage: 97.82%
Country ID: 204, Cases: 1350428, Recovered: 1341505, Recovery Percentage: 99.34%
Country ID: 206, Cases: 4713682, Recovered: 4652788, Recovery Percentage: 98.71%
Country ID: 207, Cases: 13914811, Recovered: 13762417, Recovery Percentage: 98.90%
Country ID: 208, Cases: 7649199, Recovered: 6899865, Recovery Percentage: 90.20%
Country ID: 209, Cases: 10241523, Recovered: 10222518, Recovery Percentage: 99.81%
Country ID: 210, Cases: 11624114, Recovered: 10640971, Recovery Percentage: 91.54%
Country ID: 212, Cases: 8620051, Recovered: 8596843, Recovery Percentage: 99.73%
Country ID: 213, Cases: 6081287, Recovered: 6054934, Recovery Percentage: 99.57%
Country ID: 214, Cases: 40138560, Recovered: 39970918, Recovery Percentage: 99.58%
Country ID: 215, Cases: 34571873, Recovered: 34535939, Recovery Percentage: 99.90%
Country ID: 217, Cases: 10080046, Recovered: 9949361, Recovery Percentage: 98.70%
Country ID: 218, Cases: 5631281, Recovered: 5603595, Recovery Percentage: 99.51%
Country ID: 219, Cases: 6384891, Recovered: 6203441, Recovery Percentage: 97.16%
Country ID: 221, Cases: 23430629, Recovered: 22767937, Recovery Percentage: 97.17%
Country ID: 223, Cases: 6814484, Recovered: 6647104, Recovery Percentage: 97.54%
Country ID: 224, Cases: 24812582, Recovered: 24579473, Recovery Percentage: 99.06%
Country ID: 226, Cases: 26475343, Recovered: 26068983, Recovery Percentage: 98.47%
Country ID: 227, Cases: 14654526, Recovered: 14498828, Recovery Percentage: 98.94%
Country ID: 228, Cases: 38688634, Recovered: 38240600, Recovery Percentage: 98.84%
Country ID: 230, Cases: 12855243, Recovered: 12089535, Recovery Percentage: 94.04%
Country ID: 232, Cases: 220940528, Recovered: 205121889, Recovery Percentage: 92.84%
Country ID: 233, Cases: 69365002, Recovered: 66578569, Recovery Percentage: 95.98%
Country ID: 234, Cases: 38106633, Recovered: 36249161, Recovery Percentage: 95.13%
Country ID: 235, Cases: 251803806, Recovered: 245562422, Recovery Percentage: 97.52%
Country ID: 236, Cases: 129599441, Recovered: 125275840, Recovery Percentage: 96.66%
Country ID: 237, Cases: 699219267, Recovered: 669127789, Recovery Percentage: 95.70%
Country ID: 238, Cases: 109726885, Recovered: 107596864, Recovery Percentage: 98.06%




Top Countries in Stories
------------------------

Country ID: 224, Count: 3
Country ID: 222, Count: 2
Country ID: 196, Count: 2
Country ID: 238, Count: 1
Country ID: 225, Count: 1
Country ID: 186, Count: 1
Country ID: 173, Count: 1




Game Counts by Country
----------------------

